Breaking Point, Pamela Clare, Romance, 2011
Vow, Kim Carpenter, Nonfiction, 2012
1491, Charles C. Mann, Nonfiction, 2006
The 10 Habits of Happy Mothers, Meg Meeker; M.D., Nonfiction, 2011
Anybody Can Be Cool-- But Awesome Takes Practice, Lorraine Peterson, Nonfiction, 1988
We Need to Talk About Kevin, Lionel Shriver, Fiction, 2011
The Prague Cemetery, Umberto Eco, Fiction, 2011
How to Win Friends and Influence People, Dale Carnegie, Fiction, 2012
Harry Potter and the Chamber of Secrets, J.K. Rowling, Fantasy, 2012
Cloudy with a Chance of Meatballs, Judi Barrett, Fiction, 2011
The Affair, Lee Child, Mystery, 2011
The Girl With the Dragon Tattoo, Stieg Larsson, Mystery, 2011
Explosive Eighteen, Janet Evanovich, Mystery, 2011
